species,out_strength,in_strength,out_degree,in_degree,out_degree_centrality,in_degree_centrality,betweenness_centrality,eigenvector_centrality,mean_pairwise_asymmetry,cluster,network_community
Pontastacus leptodactylus,14.141554344445467,9.34886814467609,12,9,0.07792207792207792,0.05844155844155845,0.006535947712418301,0.0018771317070932505,0.050658953158402596,6,1
Procambarus acutissimus,20.290767366066575,29.193527401424944,42,53,0.27272727272727276,0.34415584415584416,0.0015703250997368644,0.16255867956913217,0.10477368282638007,1,3
Procambarus acutus,56.929614029824734,18.599040580913424,120,37,0.7792207792207793,0.24025974025974028,0.026992615227909345,0.04211497744214225,0.24915170307912224,2,3
Procambarus alleni,8.551030694507062,20.336823468562216,20,37,0.12987012987012989,0.24025974025974028,0.02100840336134454,0.08273894186567544,0.09221905674603949,2,3
Procambarus ancylus,13.709033854771405,20.30846067611128,28,38,0.18181818181818182,0.24675324675324678,0.003649944826415415,0.08200814806053028,0.08090889219545408,2,3
Procambarus blandingii,24.97000689432025,19.725395610090345,53,40,0.34415584415584416,0.25974025974025977,0.012223071046600458,0.07705205306039863,0.08725542044448485,2,3
Procambarus chacei,21.51522528193891,20.673058949876577,40,43,0.25974025974025977,0.27922077922077926,0.0015703250997368644,0.08973482375753968,0.08767942979314981,2,3
Procambarus clarkii,29.2273307479918,16.21680057933554,57,38,0.37012987012987014,0.24675324675324678,0.0038621509209744503,0.05717637621892143,0.09885119711194042,2,3
Procambarus enoplosternum,18.92425666656345,21.164336774032563,37,42,0.24025974025974028,0.27272727272727276,0.002334267040149393,0.10190236017670368,0.07444836434230885,2,3
Procambarus fallax,5.451788051985204,20.773433424998075,9,34,0.05844155844155845,0.2207792207792208,0.0,0.0891495356997383,0.10610447935578594,2,3
Procambarus gracilis,11.648042855784297,12.827889453386888,19,23,0.12337662337662339,0.14935064935064937,0.0005941770647653001,0.015119604256026174,0.040310960784614956,4,4
Procambarus hayi,23.154343508183956,29.63184995763004,52,56,0.33766233766233766,0.36363636363636365,0.006153976742212037,0.15580035366059763,0.10970499203238007,1,3
Procambarus hirsutus,15.660386280156672,21.33637748938054,33,38,0.2142857142857143,0.24675324675324678,0.000551735845853493,0.10540528636145043,0.08420351909038115,2,3
Procambarus kensleyi,11.164215279743075,22.195221937494352,17,39,0.1103896103896104,0.2532467532467533,0.002334267040149393,0.11464749551766676,0.10050059226492734,2,3
Procambarus lecontei,7.220514447661117,23.163876309990883,16,42,0.1038961038961039,0.27272727272727276,0.00564468211527035,0.11156087692123075,0.12465187054968065,2,3
Procambarus liberorum,18.193637780379504,26.239087590947747,34,61,0.2207792207792208,0.3961038961038961,0.003140650199473729,0.10927565030513856,0.09244069045518416,3,4
Procambarus lophotus,29.44752225279808,26.691155344247818,66,61,0.4285714285714286,0.3961038961038961,0.043969102792632206,0.13464899613753903,0.12102262962416008,1,3
Procambarus ouachitae,14.074240983929485,29.783404999878258,27,56,0.17532467532467533,0.36363636363636365,0.002843561667091079,0.16102448284716298,0.12638996609232642,3,3
Procambarus paeninsulanus,19.216060305014253,21.651995449792594,30,41,0.19480519480519481,0.26623376623376627,0.009888804006451065,0.10299904131869086,0.09240662383048662,2,3
Procambarus parasimulans,10.095153857255355,29.345213783206418,23,51,0.14935064935064937,0.33116883116883117,0.004031915796621679,0.1541965227586464,0.14241574478166347,3,3
Procambarus pearsei,17.77665828843601,19.079637403134257,31,39,0.2012987012987013,0.2532467532467533,0.021942110177404297,0.07392791756395727,0.10421907248779792,2,3
Procambarus plumimanus,6.223725464195013,18.38727135863155,11,35,0.07142857142857144,0.2272727272727273,0.0002546473134708429,0.06841374044467836,0.10033674437141457,2,3
Procambarus pubescens,12.85360109899193,22.7360528241843,27,42,0.17532467532467533,0.27272727272727276,0.0007215007215007215,0.11628181929813883,0.08514898000043128,2,3
Procambarus raneyi,24.47981684654951,21.668888956308365,57,46,0.37012987012987014,0.29870129870129875,0.004795857737034208,0.08109182952951374,0.10861384153801512,5,3
Procambarus seminolae,11.731975773582235,20.159478180576116,19,38,0.12337662337662339,0.24675324675324678,0.004923181393769629,0.09615935879278857,0.09341996821254346,2,3
Procambarus simulans,20.526407557539642,20.12011776957661,40,43,0.25974025974025977,0.27922077922077926,0.036541889483065956,0.05935526191582549,0.11704690478645362,3,3
Procambarus spiculifer,34.68241111189127,22.728424208937213,66,54,0.4285714285714286,0.35064935064935066,0.012138188608776844,0.10221943218078591,0.11739686645065471,1,3
Procambarus suttkusi,12.701233067549765,24.802763658575714,23,46,0.14935064935064937,0.29870129870129875,0.002291825821237586,0.13355539968974003,0.10177473947042961,1,3
Procambarus troglodytes,18.13113997783512,21.12981437286362,29,41,0.18831168831168832,0.26623376623376627,0.0035650623885918006,0.09645211265581921,0.06818558893456765,2,3
Procambarus verrucosus,9.762513215187937,25.69866895209998,21,42,0.13636363636363638,0.27272727272727276,0.0024615906968848147,0.13955767493351554,0.11658572269809227,1,3
Procambarus versutus,16.803269976750016,25.025657064281404,30,51,0.19480519480519481,0.33116883116883117,0.009888804006451065,0.13281973644480588,0.1023875140681766,1,3
Procambarus viaeviridis,28.315015260130167,28.196289802202955,61,69,0.3961038961038961,0.4480519480519481,0.014260249554367202,0.11591355313834595,0.1279935890962914,1,3
